axis,value,exact_rate
depth,1,0.2578125
depth,2,0.65625
depth,3,0.75390625
depth,4,0.7890625
depth,6,0.8125
depth,8,0.81640625
depth,12,0.84375
depth,16,0.85546875
depth,24,0.8671875
depth,32,0.87109375
H_cycles,1,0.65625
H_cycles,2,0.7890625
H_cycles,3,0.8125
H_cycles,4,0.81640625
H_cycles,6,0.84375
H_cycles,8,0.85546875
H_cycles,10,0.86328125
L_cycles,1,0.078125
L_cycles,2,0.1015625
L_cycles,3,0.50390625
L_cycles,4,0.69140625
L_cycles,6,0.8125
L_cycles,8,0.82421875
L_cycles,12,0.83984375
L_cycles,16,0.8515625
K,1,0.828125
K,2,0.875
K,4,0.91015625
K,8,0.92578125
K,16,0.9375
K,32,0.95703125
K,64,0.96484375
L_layers,1,0.375
L_layers,2,0.8125
L_layers,3,0.58984375
L_layers,4,0.34765625
latent_dim,64,0.03515625
latent_dim,128,0.42578125
latent_dim,256,0.8125
latent_dim,512,0.72265625
